id, name, type, layer, confidence, mapped, canonical, rels
"Autoimmune Diseases", "Autoimmune Diseases", "Disease", "REASONING", 0.9, FALSE, NULL, 30
"Autoimmune Hepatitis", "Autoimmune Hepatitis", "Disease", "REASONING", 0.95, FALSE, NULL, 5
"Breast Cancer", "Breast Cancer", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 1
"Cancer", "Cancer", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Celiac Disease", "Celiac Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"Chronic Inflammation", "Chronic Inflammation", "Disease", "REASONING", 0.95, FALSE, NULL, 9
"Chronic Obstructive Lung Diseases", "Chronic Obstructive Lung Diseases", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Chronic Pain", "Chronic Pain", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Chronic Plaque Psoriasis", "Chronic Plaque Psoriasis", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Collagen-Induced Arthritis", "Collagen-Induced Arthritis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Complement Deficiency", "Complement Deficiency", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Covid-19", "Covid-19", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Crohn Disease", "Crohn Disease", "Disease", "REASONING", 1.0, FALSE, NULL, 16
"Crohn's Disease", "Crohn's Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 73
"Crohn's Disease-Associated Perianal Fistulas", "Crohn's Disease-Associated Perianal Fistulas", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"Crohn’S Disease", "Crohn’S Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 17
"Cryptoglandular Anal Fistulas", "Cryptoglandular Anal Fistulas", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"Cutaneous Lupus Erythematosus", "Cutaneous Lupus Erythematosus", "Disease", "REASONING", 0.95, FALSE, NULL, 8
"Dermatomyositis", "Dermatomyositis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Diabetes Mellitus", "Diabetes Mellitus", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Dravet Syndrome", "Dravet Syndrome", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 1
NULL, "Enfermedad Pulmonar", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 2
"Enthesitis-Related Arthritis", "Enthesitis-Related Arthritis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Epoc", "Epoc", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Graves’ Disease", "Graves’ Disease", "Disease", "REASONING", 0.95, FALSE, NULL, 0
"Hashimoto's Thyroiditis", "Hashimoto's Thyroiditis", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Hashimoto’S Disease", "Hashimoto’S Disease", "Disease", "REASONING", 0.95, FALSE, NULL, 0
"Hashimoto’S Thyroiditis", "Hashimoto’S Thyroiditis", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Heart Disease", "Heart Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Imiquimod-Induced Psoriasis", "Imiquimod-Induced Psoriasis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Immune Dysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome", "Immune Dysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Immunodysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome", "Immunodysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Inflammatory Bowel Disease", "Inflammatory Bowel Disease", "Disease", "REASONING", 0.95, FALSE, NULL, 27
"Insulin Dependent Diabetes Mellitus", "Insulin Dependent Diabetes Mellitus", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Interferonopathy", "Interferonopathy", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 1
"Intestinal Tuberculosis", "Intestinal Tuberculosis", "Disease", "REASONING", 0.9, FALSE, NULL, 11
"Iron Deficiency Anaemia", "Iron Deficiency Anaemia", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Juvenile Idiopathic Arthritis", "Juvenile Idiopathic Arthritis", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"Lennox-Gastaut Syndrome", "Lennox-Gastaut Syndrome", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 0
"Lung Cancer", "Lung Cancer", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 1
"Lupus", "Lupus", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Lupus Nephritis", "Lupus Nephritis", "Disease", "REASONING", 0.95, FALSE, NULL, 3
"Multiple Sclerosis", "Multiple Sclerosis", "Disease", "REASONING", 0.95, FALSE, NULL, 9
"Myasthenia Gravis", "Myasthenia Gravis", "Disease", "REASONING", 0.95, FALSE, NULL, 4
"Myositis", "Myositis", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Neuropsychiatric Lupus", "Neuropsychiatric Lupus", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"Paediatric Crohn's Disease", "Paediatric Crohn's Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Paediatric Plaque Psoriasis", "Paediatric Plaque Psoriasis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Paediatric Uveitis", "Paediatric Uveitis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Polyarticular Juvenile Idiopathic Arthritis", "Polyarticular Juvenile Idiopathic Arthritis", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"Primary Biliary Cholangitis", "Primary Biliary Cholangitis", "Disease", "REASONING", 0.95, FALSE, NULL, 1
"Primary Immunodeficiency", "Primary Immunodeficiency", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Psoriasis", "Psoriasis", "Disease", "REASONING", 0.95, FALSE, NULL, 10
"Psoriatic Arthritis", "Psoriatic Arthritis", "Disease", "REASONING", 0.95, FALSE, NULL, 1
"Regulatory T Cells", "Regulatory T Cells", "Disease", "REASONING", 0.9, FALSE, NULL, 9
"Rheumatoid Arthritis", "Rheumatoid Arthritis", "Disease", "REASONING", 0.95, FALSE, NULL, 15
"Scleroderma", "Scleroderma", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Sjogren’S Syndrome", "Sjogren’S Syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Stroke", "Stroke", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Systemic Lupus Erythematosus", "Systemic Lupus Erythematosus", "Disease", "REASONING", 0.95, FALSE, NULL, 81
"Systemic Sclerosis", "Systemic Sclerosis", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"T Follicular Helper Cells", "T Follicular Helper Cells", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"Thyroid Eye Disease", "Thyroid Eye Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Thyroiditis", "Thyroiditis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Treponema Pallidum", "Treponema Pallidum", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"Type 1 Diabetes", "Type 1 Diabetes", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"Type 2 Diabetes", "Type 2 Diabetes", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Ulcerative Colitis", "Ulcerative Colitis", "Disease", "REASONING", 0.9, FALSE, NULL, 22
NULL, "Vexas", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 1
"extracted:acute_inflammation", "acute_inflammation", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:adherent-invasive_escherichia_coli", "adherent-invasive_escherichia_coli", "Disease", "REASONING", 0.9, FALSE, NULL, 4
"extracted:adolescent_hidradenitis_suppurativa", "adolescent_hidradenitis_suppurativa", "Disease", "REASONING", 1.0, FALSE, NULL, 2
"extracted:alzheimer's_disease", "alzheimer's_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:ankylosing_spondylitis", "ankylosing_spondylitis", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"extracted:anti-inflammatory_diet", "anti-inflammatory_diet", "Disease", "PERCEPTION", 0.9, FALSE, NULL, 11
"extracted:antiphospholipid_syndrome", "antiphospholipid_syndrome", "Disease", "REASONING", 0.95, FALSE, NULL, 4
"extracted:arthritis", "arthritis", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"extracted:asthma", "asthma", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:autoimmune_disease", "autoimmune_disease", "Disease", "REASONING", 0.95, FALSE, NULL, 42
"extracted:autoimmune_diseases", "autoimmune_diseases", "Disease", "REASONING", 0.95, FALSE, NULL, 73
"extracted:autoimmune_disorders", "autoimmune_disorders", "Disease", "REASONING", 0.95, FALSE, NULL, 15
"extracted:autoimmune_hemolytic_anemia", "autoimmune_hemolytic_anemia", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"extracted:autoimmune_hepatitis", "autoimmune_hepatitis", "Disease", "REASONING", 0.9, FALSE, NULL, 4
"extracted:autoimmune_thyroid_disease", "autoimmune_thyroid_disease", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:breast_cancer", "breast_cancer", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:cancer", "cancer", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:cardiovascular_disease", "cardiovascular_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 9
"extracted:celiac_disease", "celiac_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 20
"extracted:cholelithiasis", "cholelithiasis", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:chronic_inflammation", "chronic_inflammation", "Disease", "REASONING", 0.9, FALSE, NULL, 10
"extracted:chronic_obstructive_lung_diseases", "chronic_obstructive_lung_diseases", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:chronic_obstructive_pulmonary_disease", "chronic_obstructive_pulmonary_disease", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 2
"extracted:chronic_pain", "chronic_pain", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:chronic_plaque_psoriasis", "chronic_plaque_psoriasis", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"extracted:clostridioides_difficile", "clostridioides_difficile", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:clostridium_difficile_infection", "clostridium_difficile_infection", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:collagen-induced_arthritis", "collagen-induced_arthritis", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:common_variable_immunodeficiency", "common_variable_immunodeficiency", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:complement_deficiency", "complement_deficiency", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:crohn's_disease", "crohn's_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 122
"extracted:crohn's_disease-associated_perianal_fistulas", "crohn's_disease-associated_perianal_fistulas", "Disease", "REASONING", 0.95, FALSE, NULL, 8
"extracted:crohn_disease", "crohn_disease", "Disease", "REASONING", 1.0, FALSE, NULL, 11
"extracted:crohn’s_disease", "crohn’s_disease", "Disease", "REASONING", 0.95, FALSE, NULL, 19
"extracted:cryptoglandular_anal_fistulas", "cryptoglandular_anal_fistulas", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"extracted:cutaneous_lupus_erythematosus", "cutaneous_lupus_erythematosus", "Disease", "REASONING", 0.95, FALSE, NULL, 7
"extracted:dermatomyositis", "dermatomyositis", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"extracted:desnutrición", "desnutrición", "Disease", "REASONING", 0.9, FALSE, NULL, 6
"extracted:diabetes_mellitus", "diabetes_mellitus", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:dravet_syndrome", "dravet_syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"extracted:dysbiosis", "dysbiosis", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 2
"extracted:enfermedad_de_crohn", "enfermedad_de_crohn", "Disease", "REASONING", 0.95, FALSE, NULL, 5
"extracted:enfermedad_hepática", "enfermedad_hepática", "Disease", "REASONING", 0.9, FALSE, NULL, 4
"extracted:enfermedad_pulmonar:_epoc_y_covid-19", "enfermedad_pulmonar:_epoc_y_covid-19", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:enthesitis-related_arthritis", "enthesitis-related_arthritis", "Disease", "REASONING", 1.0, FALSE, NULL, 2
"extracted:fibrosis", "fibrosis", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:fistula", "fistula", "Disease", "PERCEPTION", 0.9, FALSE, NULL, 1
"extracted:graves’_disease", "graves’_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:guillain-barré_syndrome", "guillain-barré_syndrome", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 2
"extracted:hashimoto's_thyroiditis", "hashimoto's_thyroiditis", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"extracted:hashimoto’s_disease", "hashimoto’s_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 9
"extracted:heart_disease", "heart_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:immune_dysregulation,_polyendocrinopathy,_enteropathy,_and_x-linked_syndrome", "immune_dysregulation,_polyendocrinopathy,_enteropathy,_and_x-linked_syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:immune_dysregulation,_polyendocrinopathy,_enteropathy,_x-linked_syndrome", "immune_dysregulation,_polyendocrinopathy,_enteropathy,_x-linked_syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:immunodysregulation,_polyendocrinopathy,_enteropathy,_x-linked_syndrome", "immunodysregulation,_polyendocrinopathy,_enteropathy,_x-linked_syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:inflammatory_bowel_disease", "inflammatory_bowel_disease", "Disease", "REASONING", 0.95, FALSE, NULL, 48
"extracted:inflammatory_bowel_diseases", "inflammatory_bowel_diseases", "Disease", "REASONING", 0.9, FALSE, NULL, 4
"extracted:insulin_dependent_diabetes_mellitus", "insulin_dependent_diabetes_mellitus", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:interferonopathy", "interferonopathy", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 2
"extracted:intestinal_tuberculosis", "intestinal_tuberculosis", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"extracted:iron_deficiency_anaemia", "iron_deficiency_anaemia", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:juvenile_idiopathic_arthritis", "juvenile_idiopathic_arthritis", "Disease", "REASONING", 1.0, FALSE, NULL, 4
"extracted:lung_cancer", "lung_cancer", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:lupus", "lupus", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:lupus_nephritis", "lupus_nephritis", "Disease", "REASONING", 0.9, FALSE, NULL, 6
"extracted:multiple_sclerosis", "multiple_sclerosis", "Disease", "REASONING", 0.95, FALSE, NULL, 33
"extracted:myasthenia_gravis", "myasthenia_gravis", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:myositis", "myositis", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:narcolepsy", "narcolepsy", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 2
"extracted:neuropsychiatric_lupus", "neuropsychiatric_lupus", "Disease", "REASONING", 0.95, FALSE, NULL, 5
"extracted:paediatric_crohn's_disease", "paediatric_crohn's_disease", "Disease", "REASONING", 1.0, FALSE, NULL, 2
"extracted:paediatric_plaque_psoriasis", "paediatric_plaque_psoriasis", "Disease", "REASONING", 1.0, FALSE, NULL, 2
"extracted:paediatric_uveitis", "paediatric_uveitis", "Disease", "REASONING", 1.0, FALSE, NULL, 2
"extracted:perianal_abscess", "perianal_abscess", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:polyarticular_juvenile_idiopathic_arthritis", "polyarticular_juvenile_idiopathic_arthritis", "Disease", "REASONING", 1.0, FALSE, NULL, 2
"extracted:primary_biliary_cholangitis", "primary_biliary_cholangitis", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:primary_immunodeficiency", "primary_immunodeficiency", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:psoriasis", "psoriasis", "Disease", "REASONING", 0.95, FALSE, NULL, 17
"extracted:psoriatic_arthritis", "psoriatic_arthritis", "Disease", "REASONING", 0.95, FALSE, NULL, 7
"extracted:regulatory_t_cells", "regulatory_t_cells", "Disease", "REASONING", 0.95, FALSE, NULL, 21
"extracted:rheumatic_heart_disease", "rheumatic_heart_disease", "Disease", "REASONING", 0.95, FALSE, NULL, 2
"extracted:rheumatoid_arthritis", "rheumatoid_arthritis", "Disease", "REASONING", 0.95, FALSE, NULL, 50
"extracted:sars-cov-2", "sars-cov-2", "Disease", "PERCEPTION", 0.9, FALSE, NULL, 2
"extracted:scleroderma", "scleroderma", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:sjogren’s_disease", "sjogren’s_disease", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:sjogren’s_syndrome", "sjogren’s_syndrome", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"extracted:sjögren's_disease", "sjögren's_disease", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:sjögren_syndrome", "sjögren_syndrome", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:sjögren’s_syndrome", "sjögren’s_syndrome", "Disease", "REASONING", 0.95, FALSE, NULL, 3
"extracted:stroke", "stroke", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"extracted:systemic_lupus_erythematosus", "systemic_lupus_erythematosus", "Disease", "REASONING", 0.95, FALSE, NULL, 132
"extracted:systemic_sclerosis", "systemic_sclerosis", "Disease", "REASONING", 0.95, FALSE, NULL, 4
"extracted:t_follicular_helper_cells", "t_follicular_helper_cells", "Disease", "REASONING", 0.9, FALSE, NULL, 6
"extracted:thyroiditis", "thyroiditis", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 1
"extracted:treponema_pallidum", "treponema_pallidum", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"extracted:tuberculosis", "tuberculosis", "Disease", "REASONING", 0.9, FALSE, NULL, 6
"extracted:type_1_diabetes", "type_1_diabetes", "Disease", "REASONING", 0.95, FALSE, NULL, 14
"extracted:type_2_diabetes", "type_2_diabetes", "Disease", "REASONING", 0.9, FALSE, NULL, 5
"extracted:ulcerative_colitis", "ulcerative_colitis", "Disease", "REASONING", 0.95, FALSE, NULL, 38
NULL, "Úlceras Por Presión", "Disease", "PERCEPTION", 0.8, FALSE, NULL, 3
"extracted:úlceras_por_presión", "úlceras_por_presión", "Disease", "REASONING", 0.9, FALSE, NULL, 2
"4-Hydroxytamoxifen", "4-Hydroxytamoxifen", "Drug", "SEMANTIC", 0.85, FALSE, NULL, 1
NULL, "5-Aminosalicylates", "Drug", "PERCEPTION", 0.8, FALSE, NULL, 1
"5-Aminosalicylic Acid", "5-Aminosalicylic Acid", "Drug", "REASONING", 0.9, FALSE, NULL, 0
"extracted:5-aminosalicylic_acid", "5-aminosalicylic_acid", "Drug", "REASONING", 0.9, FALSE, NULL, 4
"extracted:6-mercaptopurine", "6-mercaptopurine", "Drug", "REASONING", 0.9, FALSE, NULL, 4
"Abatacept", "Abatacept", "Drug", "SEMANTIC", 0.85, FALSE, NULL, 1
"Adalimumab", "Adalimumab", "Drug", "REASONING", 0.95, FALSE, NULL, 20
"Alcohol", "Alcohol", "Drug", "REASONING", 0.9, FALSE, NULL, 1
"Anifrolumab", "Anifrolumab", "Drug", "REASONING", 0.9, FALSE, NULL, 1
"Anti-Smith Antibody", "Anti-Smith Antibody", "Drug", "SEMANTIC", 0.85, FALSE, NULL, 1
NULL, "Anti-Tumor Necrosis Factor", "Drug", "PERCEPTION", 0.8, FALSE, NULL, 1
NULL, "Antinuclear Antibodies", "Drug", "PERCEPTION", 0.85, FALSE, NULL, 1
"Aspirin", "Aspirin", "Drug", "REASONING", 0.9, FALSE, NULL, 0
"Azathioprine", "Azathioprine", "Drug", "PERCEPTION", 1.0, FALSE, NULL, 8
"Belimumab", "Belimumab", "Drug", "REASONING", 0.9, FALSE, NULL, 1
"Cadmium", "Cadmium", "Drug", "REASONING", 1.0, FALSE, NULL, 1
"Caffeine", "Caffeine", "Drug", "REASONING", 0.9, FALSE, NULL, 1
"Cannabidiol", "Cannabidiol", "Drug", "REASONING", 0.95, FALSE, NULL, 6
"Cd4 Monoclonal Antibody", "Cd4 Monoclonal Antibody", "Drug", "REASONING", 0.9, FALSE, NULL, 1
"Cedirogant", "Cedirogant", "Drug", "REASONING", 0.9, FALSE, NULL, 2
"Certolizumab Pegol", "Certolizumab Pegol", "Drug", "REASONING", 0.9, FALSE, NULL, 0
"Copper", "Copper", "Drug", "REASONING", 0.9, FALSE, NULL, 1
NULL, "Corticosteroid", "Drug", "PERCEPTION", 0.8, FALSE, NULL, 1
"Corticosteroids", "Corticosteroids", "Drug", "REASONING", 0.9, FALSE, NULL, 4
"Curcumin", "Curcumin", "Drug", "REASONING", 0.9, FALSE, NULL, 2
"Cyclophosphamide", "Cyclophosphamide", "Drug", "SEMANTIC", 0.87, FALSE, NULL, 1
NULL, "Cytotoxic T Lymphocyte-Associated Antigen 4", "Drug", "PERCEPTION", 0.8, FALSE, NULL, 1
"Dapirolizumab Pegol", "Dapirolizumab Pegol", "Drug", "SEMANTIC", 0.85, FALSE, NULL, 1
"Delta-9-Tetrahydrocannabinol", "Delta-9-Tetrahydrocannabinol", "Drug", "REASONING", 0.9, FALSE, NULL, 0
NULL, "Diphtheria Toxin", "Drug", "PERCEPTION", 0.8, FALSE, NULL, 1
"Doxycycline", "Doxycycline", "Drug", "REASONING", 0.9, FALSE, NULL, 1
"Etanercept", "Etanercept", "Drug", "REASONING", 0.9, FALSE, NULL, 0
"Fenebrutinib", "Fenebrutinib", "Drug", "SEMANTIC", 0.85, FALSE, NULL, 1
"Ginger", "Ginger", "Drug", "SEMANTIC", 0.85, FALSE, NULL, 1
